2010-03-28 15:29:45 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-28 15:42:51 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-28 15:43:33 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-28 16:41:49 Notice: Notice (8): Undefined index:  cartao in [APP/controllers/membros_controller.php, line 110]
2010-03-28 16:41:49 Notice: Notice (8): Undefined variable: membros in [APP/views/membros/imprime.ctp, line 5]
2010-03-28 16:41:51 Notice: Notice (8): Undefined index:  cartao in [APP/controllers/membros_controller.php, line 110]
2010-03-28 16:41:51 Notice: Notice (8): Undefined variable: membros in [APP/views/membros/imprime.ctp, line 5]
2010-03-28 16:41:54 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-28 16:41:55 Notice: Notice (8): Undefined index:  cartao in [APP/controllers/membros_controller.php, line 110]
2010-03-28 16:41:55 Notice: Notice (8): Undefined variable: membros in [APP/views/membros/imprime.ctp, line 5]
2010-03-28 16:43:36 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-28 16:53:08 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-28 16:54:04 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-28 16:54:50 Notice: Notice (8): Undefined variable: pdf in [APP/views/membros/imprime.ctp, line 8]
2010-03-28 16:55:51 Notice: Notice (8): Undefined variable: pdf in [APP/views/membros/imprime.ctp, line 8]
2010-03-28 17:04:45 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-28 17:04:47 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-28 17:04:54 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-28 17:04:57 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-28 17:04:59 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-28 17:05:06 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-28 17:05:17 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-28 17:05:18 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-28 17:05:21 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-28 17:05:25 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-28 17:05:29 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-28 17:11:52 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-28 17:14:13 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-28 17:14:42 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-28 17:15:04 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-28 17:16:26 Notice: Notice (8): Undefined index:  data_batismo_agua in [APP/views/membros/imprime.ctp, line 65]
2010-03-28 17:17:41 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-28 17:17:47 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-28 17:17:57 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-28 17:18:44 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-28 17:18:47 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-28 17:26:49 Notice: Notice (8): Undefined property: View::$Membro in [APP/views/membros/imprime.ctp, line 81]
2010-03-28 17:26:49 Notice: Notice (8): Trying to get property of non-object in [APP/views/membros/imprime.ctp, line 81]
2010-03-28 17:30:20 Notice: Notice (8): Undefined index:  data_nascimento in [APP/views/membros/imprime.ctp, line 87]
2010-03-28 17:35:59 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-28 17:36:42 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-28 17:36:48 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-28 17:41:26 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-28 17:42:15 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-28 17:42:20 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-28 17:46:15 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-28 17:46:39 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-28 17:46:46 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-28 17:46:54 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-28 17:47:15 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-28 17:47:24 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-28 17:51:37 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-28 17:52:27 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-28 17:52:47 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-28 17:52:57 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-28 17:53:35 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-28 17:53:59 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-28 17:54:05 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-28 17:54:12 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-28 17:54:17 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-28 17:54:25 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-28 17:54:41 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-28 17:54:56 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-28 17:55:05 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-28 17:55:11 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-28 17:56:20 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-28 17:56:23 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-28 17:56:25 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-28 17:56:33 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-28 17:57:56 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-28 17:58:31 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-28 17:58:49 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-28 17:58:54 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-28 17:59:01 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-28 17:59:04 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-28 17:59:43 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-28 18:00:00 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-28 18:00:24 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-28 18:00:42 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-28 18:00:50 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-28 18:00:51 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-28 18:01:41 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-28 18:02:05 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-28 18:02:10 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-28 18:02:15 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-28 18:04:27 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
